year,start,end,AverageIncome,Threshold(JOD),Share,width,range,width/range,pdf,cdf
1992,0,1,136.0546034,-150587.7031,0.000302421,1,150907.9112,6.63E-06,3.36E-06,3.36E-06
1992,1,2,394.9087467,320.2080688,0.0008778,1,127.9992371,0.007812547,3.96E-03,3.96E-03
1992,2,3,497.8279037,448.2073059,0.001106568,1,99.5208435,0.010048146,5.09E-03,9.05E-03
1992,3,4,597.1440297,547.7281494,0.001327328,1,98.0629273,0.010197534,5.17E-03,1.42E-02
1992,4,5,691.3470936,645.7910767,0.001536722,1,88.1221313,0.011347887,5.75E-03,2.00E-02
1992,5,6,769.1097673,733.913208,0.001709572,1,66.2485962,0.015094659,7.65E-03,2.76E-02
1992,6,7,824.3520701,800.1618042,0.001832364,1,45.6962891,0.021883615,1.11E-02,3.87E-02
1992,7,8,863.210703,845.8580933,0.001918739,1,33.264038,0.030062496,1.52E-02,5.39E-02
1992,8,9,893.023971,879.1221313,0.001985007,1,27.3504029,0.036562533,1.85E-02,7.24E-02
1992,9,10,919.7592518,906.4725342,0.002044434,1,26.8416137,0.037255584,1.89E-02,9.13E-02
1992,10,11,947.8530997,933.3141479,0.002106881,1,29.8013306,0.033555549,1.70E-02,1.08E-01
1992,11,12,980.1674091,963.1154785,0.002178709,1,34.9273071,0.028630893,1.45E-02,1.23E-01
1992,12,13,1017.710159,998.0427856,0.002262159,1,40.2131954,0.024867459,1.26E-02,1.35E-01
1992,13,14,1060.134952,1038.255981,0.002356461,1,44.151978,0.022649042,1.15E-02,1.47E-01
1992,14,15,1104.788131,1082.407959,0.002455715,1,44.315918,0.022565255,1.14E-02,1.58E-01
1992,15,16,1146.854585,1126.723877,0.00254922,1,39.116577,0.025564609,1.30E-02,1.71E-01
1992,16,17,1182.69017,1165.840454,0.002628875,1,32.705811,0.030575606,1.55E-02,1.87E-01
1992,17,18,1212.722988,1198.546265,0.002695632,1,27.600097,0.036231757,1.84E-02,2.05E-01
1992,18,19,1238.447985,1226.146362,0.002752814,1,24.226441,0.041277214,2.09E-02,2.26E-01
1992,19,20,1261.673826,1250.372803,0.00280444,1,22.459106,0.04452537,2.26E-02,2.49E-01
1992,20,21,1283.889174,1272.831909,0.00285382,1,22.146362,0.045154143,2.29E-02,2.72E-01
1992,21,22,1306.386186,1294.978271,0.002903826,1,22.96875,0.043537415,2.21E-02,2.94E-01
1992,22,23,1330.019597,1317.947021,0.002956358,1,24.400513,0.040982745,2.08E-02,3.15E-01
1992,23,24,1355.357764,1342.347534,0.00301268,1,26.391602,0.037890841,1.92E-02,3.34E-01
1992,24,25,1382.728963,1368.739136,0.00307352,1,28.496826,0.035091627,1.78E-02,3.52E-01
1992,25,26,1412.340803,1397.235962,0.003139341,1,30.626343,0.032651629,1.66E-02,3.68E-01
1992,26,27,1444.114933,1427.862305,0.003209969,1,32.717407,0.030564769,1.55E-02,3.84E-01
1992,27,28,1477.480063,1460.579712,0.003284132,1,33.834473,0.029555655,1.50E-02,3.99E-01
1992,28,29,1511.492424,1494.414185,0.003359735,1,33.943847,0.02946042,1.49E-02,4.14E-01
1992,29,30,1544.832205,1528.358032,0.003433842,1,32.712647,0.030569217,1.55E-02,4.29E-01
1992,30,31,1577.053185,1561.070679,0.003505463,1,31.681884,0.031563779,1.60E-02,4.45E-01
1992,31,32,1608.368628,1592.752563,0.003575071,1,30.934083,0.032326803,1.64E-02,4.61E-01
1992,32,33,1639.080101,1623.686646,0.003643336,1,30.674316,0.032600564,1.65E-02,4.78E-01
1992,33,34,1669.664201,1654.360962,0.003711318,1,30.759033,0.032510775,1.65E-02,4.94E-01
1992,34,35,1700.556991,1685.119995,0.003779986,1,31.141846,0.032111134,1.63E-02,5.11E-01
1992,35,36,1732.090203,1716.261841,0.003850078,1,31.861084,0.031386252,1.59E-02,5.27E-01
1992,36,37,1764.459399,1748.122925,0.003922028,1,32.890625,0.0304038,1.54E-02,5.42E-01
1992,37,38,1797.914717,1781.01355,0.003996392,1,33.913574,0.029486718,1.49E-02,5.57E-01
1992,38,39,1832.4064,1814.927124,0.00407306,1,35.119019,0.028474599,1.44E-02,5.71E-01
1992,39,40,1867.815665,1850.046143,0.004151768,1,35.697998,0.028012775,1.42E-02,5.86E-01
1992,40,41,1903.763958,1885.744141,0.004231673,1,36.063476,0.027728886,1.41E-02,6.00E-01
1992,41,42,1939.897025,1921.807617,0.00431199,1,36.194214,0.027628725,1.40E-02,6.14E-01
1992,42,43,1976.038681,1958.001831,0.004392325,1,36.209717,0.027616896,1.40E-02,6.28E-01
1992,43,44,2012.44807,1994.211548,0.004473256,1,36.402099,0.027470943,1.39E-02,6.42E-01
1992,44,45,2049.011018,2030.613647,0.004554527,1,36.93982,0.027071058,1.37E-02,6.55E-01
1992,45,46,2086.111107,2067.553467,0.004636993,1,37.216308,0.026869941,1.36E-02,6.69E-01
1992,46,47,2123.862723,2104.769775,0.004720907,1,38.145996,0.026215071,1.33E-02,6.82E-01
1992,47,48,2162.513905,2142.915771,0.004806821,1,39.328614,0.02542678,1.29E-02,6.95E-01
